F	R	theta	
141.421356	0.00000000	0.000000	
100.000000	0.00000000	0.000000	
81.649658	0.00000000	0.000000	
70.710678	0.00000000	0.000000	
63.245556	0.00000000	0.000000	
57.735027	0.00000000	0.000000	
53.452248	0.00000000	0.000000	
50.000000	0.00000000	0.000000	
47.140453	0.00000000	0.000000	
44.721359	0.00000000	0.000000	
42.640144	0.00000000	0.000000	
40.824833	0.00000000	0.000000	
39.223232	0.00000000	0.000000	
37.796452	0.00000000	0.000000	
36.514843	0.00000000	0.000000	
35.355343	0.00000000	0.000000	
34.299721	0.00000000	0.000000	
33.333340	0.00000000	0.000000	
32.444290	0.00000000	0.000000	
31.622782	0.00000000	0.000000	
30.860674	0.00000000	0.000000	
30.151138	0.00000000	0.000000	
29.488394	0.00000000	0.000000	
28.867516	0.00000000	0.000000	
28.284273	0.00000000	0.000000	
27.735010	0.00000000	0.000000	
27.216553	0.00000000	0.000000	
26.726124	0.00000000	0.000000	
26.261288	0.00000000	0.000000	
25.819889	0.00000000	0.000000	
25.400024	0.00000000	0.000000	
25.000000	0.00000000	0.000000	
24.618298	0.00000000	0.000000	
24.253561	0.00000000	0.000000	
23.904572	0.00000000	0.000000	
23.570225	0.00000000	0.000000	
23.249527	0.00000000	0.000000	
22.941572	0.00000000	0.000000	
22.645538	0.00000000	0.000000	
22.360678	0.00000000	0.000000	
22.086304	0.00000000	0.000000	
21.821789	0.00000000	0.000000	
21.566555	0.00000000	0.000000	
21.320072	0.00000000	0.000000	
21.081852	0.00000000	0.000000	
20.851442	0.00000000	0.000000	
20.628426	0.00000000	0.000000	
20.412416	0.00000000	0.000000	
20.203053	0.00000000	0.000000	
20.000002	0.00000000	0.000000	
19.802954	0.00000000	0.000000	
19.611616	0.00000000	0.000000	
19.425720	0.00000000	0.000000	
19.245012	0.00000000	0.000000	
19.069256	0.00000000	0.000000	
18.898228	0.00000000	0.000000	
18.731720	0.00000000	0.000000	
18.569538	0.00000000	0.000000	
